Date,AMZN US Equity,BNDX US Equity,DAX Index,EURUSD BGN Curncy,GS US Equity,GOOGl US Equity,TSLA US Equity,,,,,,
18/4/16,31.768,54.5,10120.31,1.1313,159.02,39.384,16.9253,,,,,,
19/4/16,31.395,54.53,10349.59,1.1358,162.65,38.813,16.4913,,,,,,
20/4/16,31.65,54.57,10421.29,1.1297,166.98,38.746,16.6647,,,,,,
21/4/16,31.55,54.39,10435.73,1.1288,165.32,39,16.5527,,,,,,
22/4/16,31.025,54.33,10373.49,1.1222,166.75,36.889,16.9167,,,,,,
25/4/16,31.31,54.275,10294.35,1.1268,165.09,37.111,16.788,,,,,,
26/4/16,30.844,54.21,10259.59,1.1297,165.84,36.269,16.916,,,,,,
27/4/16,30.329,54.27,10299.83,1.1322,166.92,36.073,16.7647,,,,,,
28/4/16,30.1,54.26,10321.15,1.1352,164.29,35.253,16.514,,,,,,
29/4/16,32.98,54.34,10038.97,1.1451,164.11,35.394,16.0507,,,,,,
2/5/16,34.193,54.35,10123.27,1.1534,166.18,35.721,16.12,,,,,,
3/5/16,33.566,54.47,9926.77,1.1496,163.14,35.422,15.488,,,,,,
4/5/16,33.545,54.46,9828.25,1.1487,160.07,35.569,14.8373,,,,,,
5/5/16,32.955,54.55,9851.86,1.1405,159.53,35.736,14.102,,,,,,
6/5/16,33.698,54.6,9869.95,1.1404,158.85,36.259,14.3287,,,,,,
9/5/16,33.988,54.6,9980.49,1.1383,157.51,36.457,13.928,,,,,,
10/5/16,35.154,54.58,10045.44,1.1372,161.42,36.969,13.9127,,,,,,
11/5/16,35.662,54.64,9975.32,1.1426,159.42,36.527,13.9307,,,,,,
12/5/16,35.896,54.63,9862.12,1.1377,158.07,36.404,13.8187,,,,,,
13/5/16,35.496,54.61,9952.9,1.1309,155.34,36.242,13.8407,,,,,,
17/5/16,34.764,54.63,9890.19,1.1313,154.65,36.01,13.644,,,,,,
18/5/16,34.873,54.44,9943.23,1.1216,159.94,36.089,14.078,,,,,,
19/5/16,34.926,54.5,9795.89,1.1203,154.7,35.765,14.3473,,,,,,
20/5/16,35.14,54.57,9916.02,1.1224,154.51,36.086,14.6853,,,,,,
23/5/16,34.838,54.59,9842.29,1.122,155.45,35.863,14.4147,,,,,,
24/5/16,35.21,54.56,10057.31,1.1141,157.59,36.652,14.5273,,,,,,
25/5/16,35.418,54.64,10205.21,1.1155,161.25,36.905,14.6387,,,,,,
26/5/16,35.746,54.71,10272.71,1.1194,159.22,36.847,15.008,,,,,,
27/5/16,35.612,54.75,10286.31,1.1115,159.53,37.38,14.8693,,,,,,
31/5/16,36.14,54.69,10262.74,1.1132,159.48,37.443,14.882,,,,,,
1/6/16,35.972,54.73,10204.44,1.1188,159.97,37.423,14.6373,,,,,,
2/6/16,36.412,54.79,10208,1.1151,159.28,37.213,14.5973,,,,,,
3/6/16,36.277,54.99,10103.26,1.1367,155.67,36.793,14.5993,,,,,,
6/6/16,36.337,54.89,10121.08,1.1355,157.06,36.503,14.712,,,,,,
7/6/16,36.187,54.93,10287.68,1.1358,155.17,36.555,15.4893,,,,,,
8/6/16,36.332,54.9,10217.03,1.1395,154.64,37.146,15.7013,,,,,,
9/6/16,36.383,54.98,10088.87,1.1316,153.17,37.126,15.2907,,,,,,
10/6/16,35.896,55.03,9834.62,1.1251,149.89,36.66,14.586,,,,,,
13/6/16,35.762,55.11,9657.44,1.1292,148.63,36.594,14.5247,,,,,,
14/6/16,35.965,55.05,9519.2,1.1207,146.19,36.663,14.3307,,,,,,
15/6/16,35.713,55.25,9606.71,1.126,146.16,36.61,14.5133,,,,,,
16/6/16,35.876,55.18,9550.47,1.1225,146.63,36.213,14.5287,,,,,,
17/6/16,35.32,55.07,9631.36,1.1277,145.64,35.213,14.3647,,,,,,
20/6/16,35.701,55.04,9962.02,1.1314,147.75,35.307,14.6467,,,,,,
21/6/16,35.791,54.96,10015.54,1.1242,148.35,35.444,14.6407,,,,,,
22/6/16,35.53,54.96,10071.06,1.1296,148.14,35.524,13.1107,,,,,,
23/6/16,36.104,54.82,10257.03,1.1385,152.66,35.744,13.0933,,,,,,
24/6/16,34.948,55.04,9557.16,1.1117,141.86,34.26,12.8767,,,,,,
27/6/16,34.568,55.47,9268.66,1.1025,139.51,34.057,13.2367,,,,,,
28/6/16,35.398,55.65,9447.28,1.1065,142.41,34.563,13.4527,,,,,,
29/6/16,35.78,55.74,9612.27,1.1125,145.5,34.76,14.0127,,,,,,
30/6/16,35.781,55.7,9680.09,1.1106,148.58,35.177,14.152,,,,,,
1/7/16,36.284,55.78,9776.12,1.1136,148.25,35.513,14.4333,,,,,,
5/7/16,36.405,55.99,9532.61,1.1076,144.45,35.245,14.2653,,,,,,
6/7/16,36.881,56.04,9373.26,1.11,145.58,35.449,14.296,,,,,,
7/7/16,36.829,55.94,9418.78,1.1063,147,35.363,14.396,,,,,,
8/7/16,37.29,56.1,9629.66,1.1051,150.38,35.889,14.452,,,,,,
11/7/16,37.689,56.04,9833.41,1.1058,152.19,36.36,14.9853,,,,,,
12/7/16,37.411,55.82,9964.07,1.1061,156.92,36.626,14.9767,,,,,,
13/7/16,37.132,55.98,9930.71,1.109,157.92,36.474,14.8353,,,,,,
14/7/16,37.06,55.91,10068.3,1.112,162.54,36.79,14.7687,,,,,,
15/7/16,36.772,55.76,10066.9,1.1035,161.64,36.782,14.6933,,,,,,
18/7/16,36.804,55.71,10063.13,1.1075,163.33,37.66,15.0833,,,,,,
19/7/16,36.998,55.84,9981.24,1.1021,161.41,37.671,15.0173,,,,,,
20/7/16,37.286,55.84,10142.01,1.1015,161.77,37.854,15.224,,,,,,
21/7/16,37.222,55.82,10156.21,1.1026,160.05,37.721,14.7,,,,,,
22/7/16,37.243,55.86,10147.46,1.0977,160.41,37.964,14.818,,,,,,
25/7/16,36.981,55.8,10198.24,1.0995,160.51,37.876,15.334,,,,,,
26/7/16,36.78,55.88,10247.76,1.0986,161.16,37.883,15.3007,,,,,,
27/7/16,36.834,56.15,10319.55,1.1058,160.99,38.099,15.2327,,,,,,
28/7/16,37.631,56.11,10274.93,1.1077,160.53,38.292,15.374,,,,,,
29/7/16,37.941,56.1,10337.5,1.1174,158.81,39.567,15.6527,,,,,,
1/8/16,38.387,55.82,10330.52,1.1163,158.18,40.047,15.334,,,,,,
2/8/16,38.029,55.61,10144.34,1.1224,156.06,40.006,15.1467,,,,,,
3/8/16,37.732,55.69,10170.21,1.1149,158.34,39.946,15.0527,,,,,,
4/8/16,38.039,55.81,10227.86,1.113,158.05,39.863,15.374,,,,,,
5/8/16,38.299,55.79,10367.21,1.1086,162.09,40.347,15.3353,,,,,,
8/8/16,38.328,55.87,10432.36,1.1088,162.83,40.262,15.0773,,,,,,
9/8/16,38.415,56.02,10692.9,1.1117,163.44,40.374,15.272,,,,,,
10/8/16,38.428,56.16,10650.89,1.1176,162.19,40.425,15.0433,,,,,,
11/8/16,38.562,56.11,10742.84,1.1137,163.86,40.41,14.994,,,,,,
12/8/16,38.628,56.1,10713.43,1.1162,163.25,40.353,15.0407,,,,,,
15/8/16,38.425,56.01,10739.21,1.1184,165.55,40.298,15.0393,,,,,,
16/8/16,38.202,55.99,10676.65,1.1279,165.65,40.06,14.9073,,,,,,
17/8/16,38.232,56.04,10537.67,1.1289,165.67,40.271,14.8827,,,,,,
18/8/16,38.223,56.1,10603.03,1.1354,166.06,40.138,14.9007,,,,,,
19/8/16,37.866,56,10544.36,1.1325,166.23,39.983,15,,,,,,
22/8/16,37.974,56.08,10494.35,1.132,166.26,39.848,14.862,,,,,,
23/8/16,38.123,56.16,10592.88,1.1305,166.08,39.83,14.9893,,,,,,
24/8/16,37.863,56.09,10622.97,1.1264,165.3,39.68,14.8413,,,,,,
25/8/16,37.961,56.09,10529.59,1.1285,165.9,39.565,14.7307,,,,,,
26/8/16,38.45,56.04,10587.77,1.1198,165.97,39.661,14.666,,,,,,
29/8/16,38.564,56.13,10544.44,1.1189,166.87,39.791,14.3467,,,,,,
30/8/16,38.379,56.18,10657.64,1.1143,169.37,39.596,14.0893,,,,,,
31/8/16,38.458,56.09,10592.69,1.1158,169.46,39.493,14.134,,,,,,
1/9/16,38.531,55.98,10534.31,1.1197,168.51,39.57,13.3847,,,,,,
2/9/16,38.622,55.88,10683.82,1.1156,169.18,39.844,13.1853,,,,,,
6/9/16,39.444,55.97,10687.14,1.1255,169.33,40.401,13.522,,,,,,
7/9/16,39.224,56.11,10752.98,1.1239,169.67,40.4,13.4473,,,,,,
8/9/16,39.203,55.91,10675.29,1.126,171.66,40.142,13.1573,,,,,,
9/9/16,38.007,55.7,10573.44,1.1233,168.57,39.424,12.9647,,,,,,
12/9/16,38.575,55.61,10431.77,1.1235,171.06,39.941,13.22,,,,,,
13/9/16,38.051,55.49,10386.6,1.122,167,39.436,13.07,,,,,,
14/9/16,38.055,55.56,10378.4,1.125,166.16,39.523,13.094,,,,,,
15/9/16,38.485,55.5,10431.2,1.1244,168.08,40.062,13.3613,,,,,,
16/9/16,38.926,55.56,10276.17,1.1155,166,39.899,13.6933,,,,,,
19/9/16,38.755,55.55,10373.87,1.1175,166.21,39.77,13.756,,,,,,
20/9/16,39.011,55.64,10393.86,1.1151,166.47,39.989,13.6427,,,,,,
21/9/16,39.487,55.76,10436.49,1.1189,167.03,40.252,13.6813,,,,,,
22/9/16,40.235,55.95,10674.18,1.1208,168.02,40.798,13.762,,,,,,
23/9/16,40.288,55.92,10626.97,1.1226,165.13,40.748,13.83,,,,,,
